Car No.	School Name	Team Name	Status	Time	Distance
105	University of Mount Union	UMU Baja	OK	0.00000	0 Feet
83	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	129 Feet
101	Harding Univ	Bison Baja	OK	0.00000	129 Feet
101	Harding Univ	Bison Baja	OK	0.00000	111 Feet
3	Iowa State Univ	Cyclone Racing	OK	0.00000	129 Feet
66	Purdue Univ - Calumet	PUC Motorsports	OK	0.00000	129 Feet
11	Georgia Southern Univ	Eagle Motorsports	OK	72.86200	912 Feet
11	Georgia Southern Univ	Eagle Motorsports	OK	71.95600	912 Feet
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	71.17600	912 Feet
100	Northeastern Univ	Skunkworks	OK	0.00000	129 Feet
2	Univ of Michigan - Ann Arbor	Maize	OK	65.62900	912 Feet
2	Univ of Michigan - Ann Arbor	Maize	OK	0.00000	129 Feet
64	Clemson Univ	CU Baja Racing	OK	0.00000	580 Feet
70	Michigan State Univ	MSU	OK	0.00000	111 Feet
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	0.00000	712 Feet
48	Bucknell Univ	Bucknell MotoWorks	OK	0.00000	129 Feet
64	Clemson Univ	CU Baja Racing	OK	0.00000	580 Feet
83	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	0.00000	329 Feet
71	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00000	55 Feet
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	0.00000	335 Feet
70	Michigan State Univ	MSU	OK	0.00000	0 Feet
16	San Diego State Univ	Aztec Racing	OK	59.05800	912 Feet
16	San Diego State Univ	Aztec Racing	OK	55.08000	912 Feet
76	Arizona State Univ Polytechnic	Sun Devil Racing Development	OK	0.00000	129 Feet
4	Cornell Univ	BIG RED RACING	OK	53.60800	912 Feet
110	Universidad Autonoma Estado Mexico	Sara Juana RT	OK	0.00000	129 Feet
27	Univ of Calif - Los Angeles	UCLA Racing	OK	0.00000	453 Feet
53	SRM Engineering College	The Conrods Off-Road Racing	OK	0.00000	129 Feet
44	Univ of Notre Dame	Irish Racing	OK	0.00000	129 Feet
89	Oregon State Univ	Beaver Racing	OK	51.74900	912 Feet
44	Univ of Notre Dame	Irish Racing	OK	0.00000	111 Feet
105	University of Mount Union	UMU Baja	OK	0.00000	55 Feet
88	Florida Inst of Tech	Florida Tech Motorsports	OK	0.00000	184 Feet
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	0.00000	11 Feet
20	LeTourneau Univ	Renegade Racing	OK	0.00000	184 Feet
76	Arizona State Univ Polytechnic	Sun Devil Racing Development	OK	57.63400	912 Feet
4	Cornell Univ	BIG RED RACING	OK	50.74100	912 Feet
108	California State Poly Univ - Pomona	Cal Poly Pomona Baja SAE	OK	67.04100	912 Feet
21	SUNY Inst of Tech - Utica	Wildcat Motorsports	OK	164.25600	912 Feet
10	Polytechnique Montréal	poly mud bees	OK	113.69700	912 Feet
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	0.00000	129 Feet
89	Oregon State Univ	Beaver Racing	OK	50.52700	912 Feet
42	Auburn Univ	War Eagle Motorsports	OK	0.00000	129 Feet
108	California State Poly Univ - Pomona	Cal Poly Pomona Baja SAE	OK	56.74800	912 Feet
80	Lipscomb Univ	Lipscomb Motorsports	OK	0.00000	81 Feet
10	Polytechnique Montréal	poly mud bees	OK	115.07100	912 Feet
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	71.62600	912 Feet
23	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	111 Feet
41	Univ of Wisconsin - Madison	SAE Baja - UW Madison	OK	0.00000	129 Feet
80	Lipscomb Univ	Lipscomb Motorsports	OK	0.00000	111 Feet
3	Iowa State Univ	Cyclone Racing	OK	78.66700	912 Feet
23	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	335 Feet
93	Louisiana State Univ	Baja Bengals	OK	0.00000	129 Feet
41	Univ of Wisconsin - Madison	SAE Baja - UW Madison	OK	0.00000	129 Feet
21	SUNY Inst of Tech - Utica	Wildcat Motorsports	OK	0.00000	129 Feet
85	Univ of Evansville	Aces baja	OK	0.00000	7 Feet
25	Pittsburg State University	Diddy Kong Racing	OK	0.00000	129 Feet
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	0.00000	129 Feet
35	Clarkson University	Golden Knights Racing	OK	0.00000	184 Feet
93	Louisiana State Univ	Baja Bengals	OK	58.87600	912 Feet
25	Pittsburg State University	Diddy Kong Racing	OK	122.31600	912 Feet
37	Universite de Sherbrooke	Sherbrooke Racing Team	OK	0.00000	129 Feet
68	Middle Tennessee State Univ	MTSU Motorsports	OK	0.00000	329 Feet
42	Auburn Univ	War Eagle Motorsports	OK	56.83000	912 Feet
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	0.00000	580 Feet
87	US Military Academy	Army Motorsports	OK	0.00000	347 Feet
75	Grove City College	Grove City Racing	OK	0.00000	341 Feet
30	Johns Hopkins Univ	Hopkins Baja	OK	70.05800	912 Feet
5	Rochester Institute of Technology	RIOT RACING	OK	51.13400	912 Feet
75	Grove City College	Grove City Racing	OK	0.00000	317 Feet
111	Univ of Cincinnati	Bearcats Baja	OK	67.00000	912 Feet
6	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	55 Feet
57	Youngstown State Univ	Penguin Powersports	OK	0.00000	335 Feet
